Goal,EAM Query
Display newly written files,event_simpleName=*Written | table timestamp ComputerName TargetFileName | sort - by timestamp
Display newly written registry entries,event_simpleName=ASEP* | table timestamp ComputerName RegObjectName | sort - by timestamp
History of network connections per process,"event_simpleName=ProcessRollup* FileName=<insert filename>, then use the drop-down next to the event to ""Find network events for this process""
event_simpleName=ProcessRollup* SHA256HashData=<insert hash>, then use the drop-down next to the event to ""Find network events for this process"""
History of domain names queried,"event_simpleName=DnsRequest | eval latest_time=strftime(_time, ""%m/%d/%y %I:%M%p"") | stats values(LocalAddressIP4) AS ""Local IP"" count as Count latest(latest_time) AS ""Latest Event"" by DomainName ComputerName | sort by Count"
GeoIP connections (excluding RFC1918 & loopback),"event_simpleName=""NetworkConnectIP4"" (RemoteAddressIP4!=192.168.0.0/16 AND RemoteAddressIP4!=10.0.0.0/8 AND RemoteAddressIP4!=172.16.0.0/12 AND RemoteAddressIP4!=127.0.0.0/8) | dedup RemoteAddressIP4 ComputerName | iplocation RemoteAddressIP4 | table timestamp ComputerName RemoteAddressIP4 City Country | sort - by timestamp"
Non-US network connections (excluding RFC1918 & loopback),"event_simpleName=""NetworkConnectIP4"" (RemoteAddressIP4!=192.168.0.0/16 AND RemoteAddressIP4!=10.0.0.0/8 AND RemoteAddressIP4!=172.16.0.0/12 AND RemoteAddressIP4!=127.0.0.0/8) | dedup RemoteAddressIP4 ComputerName | iplocation RemoteAddressIP4 | table timestamp ComputerName RemoteAddressIP4 City Country | where Country!=""United States"""
Summarized non-US network connections (excluding RFC1918 & loopback),"event_simpleName=""NetworkConnectIP4"" (RemoteAddressIP4!=192.168.0.0/16 AND RemoteAddressIP4!=10.0.0.0/8 AND RemoteAddressIP4!=172.16.0.0/12 AND RemoteAddressIP4!=127.0.0.0/8) | iplocation RemoteAddressIP4 | stats count by Country | sort - by count"
Display all file hash data across entire network,event_simpleName=ProcessRollup* OR event_simpleName=ImageHash | table FileName MD5HashData SHA1HashData SHA256HashData
OS data for files,event_simpleName=ImageHash OR event_simpleName=ProcessRollup* OR event_simpleName=PEVersionInfo | table FileName event_platform
"Extract signed information from binaries (It's ugly, but this will provide the information until Splunk creates a hex-->ASCII decoder)","It's ugly, but this will get you the information until Splunk creates a hex-->ASCII decoder: event_simpleName=PeVersionInfo | rex mode=sed field=VersionInfo ""s/([0-9A-Fa-f]{2})/%\1/g"" | rex mode=sed field=VersionInfo ""s/%[890ABCDEDFabcdef][\d\w]/-/g"" | eval decode=urldecode(VersionInfo) | table FileName decode"
Locate all systems where a particular file exists (by filename - could substitute SHA256HashData=<insert hash> in place of the FileName argument if locating by hash is preferred),FileName=<insert file name> | stats count by ComputerName
Show full command line parameters used to launch files,"event_simpleName=ProcessRollup* | table timestamp ComputerName FileName CommandLine
event_simpleName=CommandHistory | table timestamp ComputerName ApplicationName CommandHistory"
Show command history for specific binary with CLI (e.g. cmd.exe or powershell.exe),event_simpleName=CommandHistory* ApplicationName=<insert filename> | table timestamp ComputerName ApplicationName CommandHistory
List user login count per user per computer,"event_simpleName=UserIdentity UserName!=none | stats count AS Logins by UserName, ComputerName | stats list(UserName) AS Usernames list(Logins) AS ""Login Count"" by ComputerName | rename ComputerName TO ""Computer Name"""
List systems with the most unique user logins,event_simpleName=UserIdentity UserName!=none UserName=* | dedup ComputerName UserName | stats count by ComputerName | sort - by count
List network connections or DNS queries,"event_simpleName=NetworkConnect* | rename LocalAddressIP4 AS ""Local IP"" LocalPort_decimal AS ""Local Port"" RemoteAddressIP4 AS ""Remote IP"" RemotePort_decimal AS ""Remote Port"" |table timestamp ComputerName ""Local IP"" ""Local Port"" ""Remote IP"" ""Remote Port""
event_simpleName=DNSRequest | table timestamp ComputerName DomainName
event_simpleName=DNSRequest | table timestamp ComputerName DomainName | dedup ComputerName DomainName"
List network connections by user,"event_simpleName=NetworkConnect* | join TargetProcessId [search UserName!=*$ AND UserName!=""LOCAL SYSTEM"" AND UserName!=""LOCAL SERVICE""] | table timestamp ComputerName UserName LocalAddressIP4 RemoteAddressIP4"
List all files that triggered VT detection,event_simpleName=VT | rename srcEventId as id | rename sha256 as SHA256HashData | join SHA256HashData [search FileName=*] | table timestamp ComputerName FileName SHA256HashData detectionCount | dedup ComputerName SHA256HashData | sort - by detectionCount
List new processes that were not seen before (first seen in last 24 hours),"event_simpleName=ProcessRollup* | stats earliest(_time) as FirstRun by SHA256HashData | eval OneDayAgo=(now()-86400) | where FirstRun>OneDayAgo | fieldformat FirstRun=strftime(FirstRun, ""%m/%d/%y %H:%M:%S"") | fieldformat OneDayAgo=strftime(OneDayAgo, ""%m/%d/%y %H:%M:%S"") | join SHA256HashData [search FileName=* AND ComputerName=*] | table FirstRun ComputerName FileName SHA256HashData OneDayAgo"
Find first event of a particular file or hash in the environment (note that time range needs to be specified),"event_simpleName=ProcessRollup* | stats earliest(_time) as FirstSeen by SHA256HashData | fieldformat FirstSeen=strftime(FirstSeen, ""%y/%m/%d %H:%M:%S"") | join SHA256HashData [search <insert hash>] | table FirstSeen ComputerName SHA256HashData FileName"
Find last event of a particular file per computer (used filename in this example),"event_simpleName=ProcessRollup* FileName=GoogleUpdate.exe | stats latest(_time) AS LastSeen by SHA256HashData | fieldformat LastSeen=strftime(LastSeen, ""%m/%d/%y %I:%M%p"") | join SHA256HashData [search event_simpleName=ProcessRollup*] | table ComputerName LastSeen FileName SHA256HashData"
Search for uncommon remote IP addresses,event_simpleName=NetworkConnect* | rare RemoteAddressIP4 | where percent < 10 | sort by percent asc
Search for uncommon non-RFC1918 remote addresses,"event_simpleName=NetworkConnect* AND RemoteAddressIP4!=""10.0.0.0/8"" AND RemoteAddressIP4!=""172.16.0.0/12"" AND RemoteAddressIP4!=""192.168.0.0/16"" AND RemoteAddressIP4!=""127.0.0.1"" | rare RemoteAddressIP4 | where percent < 10 | sort by percent asc"
"Search for instances of IIS, MS SqlServer, Apache Webserver, Nginx Webserver running as Local System","event_simpleName=""ProcessRollup2"" (FileName=w3wp.exe OR FileName=sqlservr.exe OR FileName=httpd.exe OR FileName=nginx.exe) UserName=""LOCAL SYSTEM"" | dedup aid | table ComputerName UserName ImageFileName CommandLine"
Search for number of machines running any version of MS Word (by aid),(event_simpleName=ProcessRollup* OR event_simpleName=ImageHash) FileName=WinWord.exe | stats dc(aid)
List locations of WinWord on specific systems (by ComputerName),(event_simpleName=ProcessRollup* OR event_simpleName=ImageHash) FileName=WinWord.exe | dedup ComputerName | table ComputerName ImageFileName
List unusual (fewer than four across the organization) hashes and when they were first seen,"event_simpleName=""ProcessRollup2"" OR event_simpleName=ImageHash | stats earliest(timestamp) AS FirstSeen, dc(aid) AS Count by SHA256HashData | where Count<4 | sort - by FirstSeen"
Search for instances of any process classified (/w Machine Learning) as cmd.exe that is not named cmd.exe,"name=""DynamicClassificationV1"" DynamicClassificationId_decimal=4 FileName!=cmd.exe"
List usernames that have been used across a large number of computers (more than 4) and show the number of computers and when it was first seen,"name=UserIdentity | stats earliest(timestamp) AS FirstSeen, dc(aid) AS Count by UserName | where Count>4 | sort - by Count"
"List PE Files that have been written to a small number of systems (less than four) and show the first time it was seen, the SHA256 hash value, the path of the written file, and the number of systems it's on (by aid)","event_simpleName=PeFileWritten | stats values(TargetFileName) AS ""File Path"", earliest(timestamp) AS FirstSeen, dc(aid) AS Count by SHA256HashData | where Count<4 | sort by Count"
List AutoStart registry entry changes/updates that have only been seen on one system,"event_simpleName=Asep* | stats values(ComputerName) AS ""Computer Name"", earliest(timestamp) AS ""Date Seen"", dc(aid) AS Count by RegObjectName | where Count=1 | sort by ""Date Seen"""
Search for uncommon file hashes per filename,"MD5HashData!="""" | rare MD5HashData by ImageFileName | where percent < 10 | sort by percent"
List unusual (fewer than 10%) remote ports,"event_simpleName=NetworkConnect* RemotePort_decimal!="""" | rare RemotePort_decimal | rename RemotePort_decimal TO ""Remote Port"" | where percent < 10 | sort by percent"
Find single ping (often used by adversary to stealthily check network connectivity),"ping.exe | search CommandLine=""*-n 1*"" | table timestamp ComputerName, aid, UserName, CommandLine"
Show the breakdown stats on sensor version and OS version,"| savedsearch ""Sensor Stats"" | search Version!=none AND ""Agent Version""!=none | counttable Version ""Agent Version"""
Show versions of Flash Player installed in environment,"event_simpleName=PeVersionInfo FileName=FlashPlayerPlugin* | rex mode=sed field=VersionInfo ""s/([0-9A-Fa-f]{2})/%\1/g"" | rex mode=sed field=VersionInfo ""s/%[890ABCDEDFabcdef][\d\w]//g"" | eval decode=urldecode(VersionInfo) | rex field=decode "".+FileDescriptionAdobe Flash Player (?<flashversion>.*)FileVersion.+"" | dedup ComputerName | rename flashversion AS ""Flash Version"" ComputerName AS ""Machine Name"" | stats list(""Machine Name"") by ""Flash Version"""
Show versions of Adobe Acrobat Reader installed in environment,"event_simpleName=PeVersionInfo FileName=acrord*.exe | rex mode=sed field=VersionInfo ""s/([0-9A-Fa-f]{2})/%\1/g"" | rex mode=sed field=VersionInfo ""s/%[890ABCDEDFabcdef][\d\w]//g"" | eval decode=urldecode(VersionInfo) | rex field=decode "".+ProductNameAdobe Reader:ProductVersion(?<adobeversion>.*)BOriginalFilenameAcro.+"" | dedup ComputerName | rename adobeversion AS ""Acrobat Reader Version"" ComputerName AS ""Machine Name"" | stats list(""Machine Name"") by ""Acrobat Reader Version"""
List all AIDs that are connected to more than one computer (and list the computers connected),"event_simpleName=AgentOnline | stats values(ComputerName) AS ""Computer Name"", dc(ComputerName) AS Count by aid | rename aid TO ""Agent ID"" | where Count >1 "
"Option 1 to list files that were not seen an hour ago, but have been written to more than 5 systems in the last hour (summarized view)","event_simpleName=PEFileWritten TargetFileName!=*McAfee* earliest=-24h | stats values(FileName) AS ""File Name"", values(TargetFileName) AS ""Full Path"", values(ComputerName) AS ""Computer Names"", values(aid) AS ""Agent IDs"", earliest(_time) AS FirstSeen, dc(aid) AS Count by SHA256HashData | where Count>5 AND (FirstSeen>(now()-3600)) | fieldformat FirstSeen=strftime(FirstSeen, ""%m/%d/%y %H:%M:%S"") | sort - by Count"
"Option 2 to list files that were not seen an hour ago, but have been written to more than 5 systems in the last hour (lists every instance)","event_simpleName=PeFileWritten cid=e79ede6f65cd4eca8e99fec43a7723cf SHA256HashData!=0000000000000000000000000000000000000000000000000000000000000000 earliest=-24h | eventstats earliest(_time) as firstseen by SHA256HashData | eval hourago=relative_time(now(),""-1h"") | where firstseen > hourago | eventstats dc(aid) as DistCount by SHA256HashData | where DistCount>5 | dedup SHA256HashData aid ContextProcessId_decimal | table TargetFileName SHA256HashData cid aid ContextProcessId_decimal | sort by SHA256HashData"
"Option 1 to list files that were not seen a day ago, but have been written to more than 10 systems in the last day (summarized view)","event_simpleName=PEFileWritten TargetFileName!=*McAfee* earliest=-3d | stats values(FileName) AS ""File Name"", values(TargetFileName) AS ""Full Path"", values(ComputerName) AS ""Computer Names"", values(aid) AS ""Agent IDs"", earliest(_time) AS FirstSeen, dc(aid) AS Count by SHA256HashData | where Count>10 AND (FirstSeen>(now()-86400)) | fieldformat FirstSeen=strftime(FirstSeen, ""%m/%d/%y %H:%M:%S"") | sort - by Count"
"Option 2 to list files that were not seen a day ago, but have been written to more than 10 systems in the last day (lists every instance)","event_simpleName=PeFileWritten cid=e79ede6f65cd4eca8e99fec43a7723cf SHA256HashData!=0000000000000000000000000000000000000000000000000000000000000000 earliest=-3d | eventstats earliest(_time) as firstseen by SHA256HashData | eval dayago=relative_time(now(),""-1d"") | where firstseen > dayago | eventstats dc(aid) as DistCount by SHA256HashData | where DistCount>9 | dedup SHA256HashData aid ContextProcessId_decimal | table TargetFileName SHA256HashData cid aid ContextProcessId_decimal | sort by SHA256HashData"
List interesting fields that are associated with a specific detection,aid=<aid> TreeId=<treeid> | table timestamp event_simpleName ComputerName DetectName DetectDescription FileName ImageFileName TargetFileName DomainName
List all processes and detections for a particular host,ComputerName=<computername> (DetectName=* OR event_simpleName=ProcessRollup2) | table timestamp event_simpleName name ComputerName DetectName CommandLine DetectDescription DetectScenario DetectSeverity | sort - by timestamp
"List all detections, both weak and strong",PatternId_decimal=* | table timestamp ComputerName PatternId_decimal DetectName DetectScenario DetectDescription DetectSeverity
Summary view of Source IP for API Detections,name=Event_ExternalApiEvent ExternalApiType=Event_DetectionSummaryEvent | stats count by OriginSourceIpAddress
List of all Source IP Addresses for API Detections,name=Event_ExternalApiEvent ExternalApiType=Event_DetectionSummaryEvent | table timestamp name ExternalApiType OriginSourceIpAddress
Find files that are spreading across an environment (24 hour period),"event_simpleName=PEFileWritten earliest=-24h | stats values(FileName) AS ""File Name"", values(TargetFileName) AS ""Full Path"", values(ComputerName) AS ""Computer Names"", values(aid) AS ""Agent IDs"", earliest(_time) AS FirstSeen, dc(aid) AS Count by SHA256HashData | where Count>4 AND (FirstSeen>(now()-3600)) | fieldformat FirstSeen=strftime(FirstSeen, ""%m/%d/%y %H:%M:%S"") | sort - by Count"
"Same as above (find spreading files), but 1-hour period and not specifying that the file has to be ""new""","event_simpleName=PEFileWritten earliest=-1h | stats values(FileName) AS ""File Name"", values(TargetFileName) AS ""Full Path"", values(ComputerName) AS ""Computer Names"", values(aid) AS ""Agent IDs"", dc(aid) AS Count by SHA256HashData | where Count>2 | sort - by Count"
Show the total data being consumed by Falcon Host (events being sent) per hour,"esize=* earliest=-12h | stats sum(esize) AS Bytes by date_hour | fieldformat Bytes = tostring(Bytes, ""commas"")"
"Table view to append to ""find associated events"" query",| table timestamp ComputerName event_simpleName PatternId_decimal DetectName ImageFileName CommandLine TargetFileName DomainName LocalAddressIP4 LocalPort_decimal RemoteAddressIP4 RemotePort_decimal
List all network connections by process over the last 24 hours,"event_simpleName=NetworkConnectIP4 earliest=-24h | rename ContextProcessId AS TargetProcessId | join TargetProcessId [search event_simpleName=ProcessRollup2 earliest=-24h] | stats values(TargetProcessId), values(ComputerName), values(FileName), Values(RemoteAddressIP4), values(RemotePort_decimal), dc(RemoteAddressIP4) by TargetProcessId"
List all DNS requests by process over the last 24 hours,"event_simpleName=DnsRequest earliest=-24h | rename ContextProcessId AS TargetProcessId | join TargetProcessId [search event_simpleName=ProcessRollup2 earliest=-24h] | stats values(TargetProcessId), values(ComputerName), values(FileName), Values(DomainName), dc(DomainName) by TargetProcessId"
Alternate method to list all DNS requests by process,"event_simpleName=""ProcessRollup2"" ComputerName=<computername> FileName=""*.exe"" | rename TargetProcessId as ContextProcessId | join ContextProcessId [search event_simpleName=DnsRequest DomainName=""*.*"" ComputerName=<computername> | stats values(DomainName) AS DomainName by ContextProcessId ] | table timestamp RawProcessId_decimal ContextProcessId DomainName ComputerName UserName FileName MD5HashData CommandLine aid | rename RawProcessId_decimal AS PID, MD5HashData AS MD5"
Alternate method to list all network connections by process (excluding 192.168 and 127),"event_simpleName=""ProcessRollup2"" ComputerName=LAMB FileName=""*.exe"" | rename TargetProcessId as ContextProcessId | join ContextProcessId [search  event_simpleName=NetworkConnectIP4 RemoteAddressIP4!=192.168.0.0/16 RemoteAddressIP4!=127.0.0.0/8 ComputerName=LAMB | stats values(RemoteAddressIP4) AS ""Remote IP Address"" by ContextProcessId ] | table timestamp ComputerName FileName RawProcessId_decimal ContextProcessId ""Remote IP Address"" UserName MD5HashData CommandLine aid | rename RawProcessId_decimal AS PID, MD5HashData AS MD5"
View all detection patterns,|inputlookup detect_patterns
View all aids,|inputlookup aid_master
,|inputlookup winosversion_lookup
Append lookup information to your result (make sure you add new column in table to reflect added field),"| lookup aid_master ComputerName output Version
| where Version=""Windows 7""
| table ComputerName, FileVersion, UserName, Version, _time "
,|inputlookup usersid_username
,|inputlookup recon_apps
,|inputlookup producttype_lookup
,|inputlookup osxversion_lookup
,|inputlookup logontype_lookup
,|inputlookup localaddressip4_lookup
View all macros,"| rest splunk_server=local /servicesNS/-/-/admin/macros 
| table title, args, eai:acl.app, definition"
View all lookups,"| rest /servicesNS/-/-/data/props/lookups
| table title, args, eai:acl.app, definition"
View all saved searches,"| rest /servicesNS/-/-/saved/searches splunk_server=local
|  table title search"
View all sourcetypes,| metadata type=sourcetypes index=* OR index=_*
AESP EVENT_SIMPLENAME EVENTS IN FALCON - Windows ASEPs,AsepKeyUpdate and AsepValueUpdate
LOOK AT ALL SCHEDULED TASK REGISTRATIONS,earliest=-3d event_simpleName=ScheduledTaskRegistered |  table _time ComputerName TaskName TaskAuthor TaskExecCommand TaskExecArguments TaskXml
LOOK AT ALL USER ACCOUNTS CREATED,earliest=-30d event_simpleName=UserAccountCreated | table _time ClientComputerName ComputerName UserName UserRid
Script Control,earliest=-30d event_simpleName=ScriptControl* | stats values(ScriptContentName) values(SHA256HashData) count by ComputerName
More Script Control,earliest=-30d event_simpleName=ScriptControl* | table _time ComputerName aid ScriptContentName SHA256HashData ScriptContent
USB Device Control,"event_simpleName=DcUsbDeviceConnected | eval Time=strftime(timestamp/ 1000, ""%Y-%m-%d %H:%M:%S"") | rename ComputerName AS Endpoint, DevicePropertyClassName AS ""Connection Type"", DeviceManufacturer AS Manufacturer, DeviceProduct AS ""Product Name"", DevicePropertyDeviceDescription AS Description, DevicePropertyClassGuid_readable AS GUID, Time As ""Time Connected"" | stats list(""Time Connected"") by Endpoint ""Connection Type"" Manufacturer ""Product Name"" Description GUID"
,
,
https://www.splunk.com/pdfs/solution-guides/splunk-quick-reference-guide.pdf,
https://falcon.crowdstrike.com/support/documentation/26/events-data-dictionary,
,
Computers with bad file,"(SHA256HashData=07c44729e2c570b37db695323249474831f5861d45318bf49ccf5d2f5c8ea1cd)
| table ComputerName LocalAddressIP4 
|  dedup ComputerName "
Connections charted on map,"event_simpleName=""NetworkConnectIP4"" (RemoteAddressIP4!=192.168.0.0/16 AND RemoteAddressIP4!=10.0.0.0/8 AND RemoteAddressIP4!=172.16.0.0/12 AND RemoteAddressIP4!=127.0.0.0/8 AND RemoteAddressIP4!=9.0.0.0/8) | dedup RemoteAddressIP4 ComputerName | iplocation RemoteAddressIP4 | table timestamp ComputerName RemoteAddressIP4 City Country 
| chart count over RemoteAddressIP4 | iplocation RemoteAddressIP4 | geostats count by Country"
(Some*) Services that shouldn't be exposed to the internet,eventtype=eam AND (RPort=137 OR RPort=3389 OR RPort=445 OR RPort=138 OR RPort=139) AND (RemoteAddressIP4!=192.168.0.0/16 AND RemoteAddressIP4!=10.0.0.0/8 AND RemoteAddressIP4!=172.16.0.0/12 AND RemoteAddressIP4!=127.0.0.0/8 AND RemoteAddressIP4!=9.0.0.0/8) AND RemoteIP != LocalIP | table ComputerName LocalIP LPort RemoteIP RPort
Query versions of App,"index=discover_summary ProductName=""Microsoft Office*"" (FileName=""EXCEL.EXE"" OR FileName=""WINWORD.EXE"" OR FileName=""OUTLOOK.EXE"")
| dedup ComputerName 
| table ComputerName, FileVersion, UserName, _time
| sort FileVersion"
Check for Registry Changes,"(event_simpleName=AsepKeyUpdate OR event_simpleName=AsepValueUpdate) ComputerName=* RegOperationType_decimal IN (1,3,6)
| eval orig_event_SimpleName=event_simpleName
| eval TargetProcessId_decimal=ContextProcessId_decimal
| join TargetProcessId_decimal
   [ search ComputerName=* (event_simpleName=*processrollup* OR event_simpleName=CommandHistory) ]
| rename AsepClass_decimal as AsepClass AsepValueType_decimal as AsepValueType AsepFlags_decimal as AsepFlagsType RegOperationType_decimal as RegOperationType
| lookup asepclass AsepClass OUTPUT AsepClassName
| lookup asepvalue AsepValueType OUTPUT AsepValueName
| lookup regoperation RegOperationType OUTPUT RegOperationName
| rex field=CommandLine ""(?<CommandLineExe>^\""?.*?\.\w{3}\""?)""
| eval CommandLineExe = trim(replace(CommandLineExe, ""\"""", """"))
| rex field=CommandLine ""(?<CommandLineArgs>\/.*)""
| rex field=CommandLine ""\.\w{3}\""?\s(?<CommandLineArgs>.*)""
| table _time, ComputerName, orig_event_SimpleName, event_simpleName, RegOperationName, RegObjectName, RegValueName, RegStringValue, RegObjectName, AsepClassName, AsepValueName, AsepFlagsType, CommandLine, CommandLineExe, CommandLineArgs, FileName, ImageFileName, MD5HashData, SHA256HashData, ParentProcessId_decimal, ContextProcessId_decimal, TargetProcessId_decimal, RegType_decimal, AsepFlags_decimal, aid, UserName
| sort _time"
DNS query associated with executable running (possible process injection),"aid=* event_simpleName=""DnsRequest"" 
| rename ContextProcessId as TargetProcessId 
| join TargetProcessId [search aid=* event_simpleName=""ProcessRollup2"" ImageFileName=""*notepad.exe""]
| eval Time=strftime(_time,""%m/%d/%Y %H:%M:%S %p"")
| table ComputerName Time ImageFileName DomainName CommandLine"
Powershell with some Bypass,event_simpleName=ProcessRollup2 FileName=powershell.exe (CommandLine=* -nopr* OR CommandLine=* -w* OR CommandLine=* -exec*) | table ComputerName UserName FileName CommandLine
Powershell with all Bypass,event_simpleName=ProcessRollup2 FileName=powershell.exe (CommandLine=* -nopr* AND CommandLine=* -w* AND CommandLine=* -exec*) | table ComputerName UserName FileName CommandLine
Inappropriate SYSTEM privilege use,"event_simpleName=""ProcessRollup2"" (FileName=w3wp.exe OR FileName=sqlservr.exe OR FileName=httpd.exe OR FileName=nginx.exe) UserName=""LOCAL SYSTEM"" | dedup aid | table ComputerName UserName ImageFileName CommandLine"
Running from recycle bin folder,ImageFileName=*$Recycle.Bin* event_simpleName=*ProcessRollup* | stats values(name) values(MD5HashData) values(ComputerName) values(ImageFileName) values(CommandLine) count by aid
Suspicious URLs (50 last in result set),event_simpleName=SuspiciousDnsRequest | stats values(ComputerName) count by DomainName | tail 50
Bits Transfers,event_simpleName=*ProcessRollup* FileName=bitsadmin.exe (CommandLine=*/Transfer* OR CommandLine=*/Addfile*) | dedup CommandLine | table _time aid ComputerName UserName ImageFileName CommandLine TargetFileName MD5HashData SHA256HashData | sort -_time
