Goal,EAM Query
Powershell Downloads,"(""powershell"" AND (""DownloadString("" OR ""invoke-webrequest"" OR ""Invoke-shell""OR ""iex"" OR ""Net.WebClient"")) AND CommandLine=* AND NOT ( localhost OR swg-devops OR ""chocolatey.org"" OR .ibm.com OR http://169.254.169.254/latest/dynamic/instance-identity/document OR *SEP_* OR *Sylink* OR *TreeSizeFree* OR *ClientSideClonePrepTool.exe* OR *Crowdstrike* OR *qatemrepo.qa.local* OR *WindowsSensor_* OR *wincollect*)
| stats values(CommandLine) by ComputerName"
Executables running from user temp,"(event_simpleName=*ProcessRollup*) AND (ImageFileName=""*\\AppData\\*"" OR ImageFileName=""*\\Desktop\\*"" OR ImageFileName=""*\\AppData\\Local\\*"" OR ImageFileName=""*\\AppData\\Local\\Temp\\*"" OR ImageFileName=""*\\AppData\\Roaming\\*"") | regex ImageFileName="".*\\\\Desktop\\\\\w+\.exe|.*\\\\AppData\\\\\w+\.exe|.*\\\\AppData\\\\Local\\\\\w+.exe|.*\\\\AppData\\\\Local\\\\Temp\\\\\w+.exe|.*\\\\AppData\\\\Roaming\\\\\w+.exe"" |table ComputerName UserName ImageFileName FileName SHA256HashData"
Files executing from browser cache,"event_simpleName=*ProcessRollup* AND (ImageFileName=""*\\AppData\\Local\\Microsoft\\Windows\\Temporary Internet Files\\*"" OR ImageFileName=""*\\AppData\\Local\\Mozilla\\Firefox\\Profiles*"" OR ImageFileName=""*\\AppData\\Local\\Google\\Chrome\\*"" OR ImageFileName=""*\\Downloads\\*"") | regex ImageFileName="".*\\\\AppData\\\\Local\\\\Microsoft\\\\Windows\\\\Temporary.Internet.Files\\\\\w+\.exe|.*\\\\AppData\\\\Local\\\\Mozilla\\\\Firefox\\\\Profiles\\\\\w+\.exe|.*\\\\AppData\\\\Local\\\\Google\\\\Chrome\\\\\w+\.exe|.*\\\\Downloads\\\\\w+\.exe"" | table ComputerName UserName ImageFileName FileName SHA256HashData"
Services running from somewhere other than System32,"event_simpleName=ServiceStarted ImageFileName!=""*\\System32\\*"" | stats values(ServiceDisplayName) values(ImageFileName) values(CommandLine) values(ComputerName) values(RemoteAddressIP4) values(RemoteAddressIP6) count by aid"
Hunting for named service,event_simpleName=ServiceStarted ServiceDisplayName=<change me> | stats values(aid) values(ServiceDisplayName) values(ImageFileName) values(CommandLine) count by ComputerName
Look for rare services in your environment,event_simpleName=ServiceStarted (ServiceDisplayName!=BcastDVRUserService* AND ServiceDisplayName!=BluetoothUserService* AND ServiceDisplayName!=DevicePickerUserSvc* AND ServiceDisplayName!=DevicesFlowUserSvc* AND ServiceDisplayName!=IBM*) | rare 50 ServiceDisplayName
Documents opened by Office,"event_simpleName=*ProcessRollup* earliest=-60d latest=now CommandLine=*content.outlook* FileName=winword.exe OR Filename=excel.exe OR POWERPNT.exe | eval splitter=split(CommandLine,""Outlook\\"") | eval ShortFile=mvindex(splitter,-1) | table timestamp aid TargetProcessId_decimal ComputerName ShortFile CommandLine | sort – timestamp"
Web locations visited from outlook,event_simpleName=*ProcessRollup* earliest=-60d latest=now FileName=outlook.exe | dedup aid TargetProcessId_decimal | rename FileName as Parent | rename CommandLine as ParentCmd | table aid TargetProcessId_decimal Parent ParentCmd | join max=0 aid TargetProcessId_decimal [search name=ProcessRollup* FileName=chrome.exe OR FileName=firefox.exe OR FileName=iexplore.exe | rename ParentProcessId as TargetProcessId_decimal | rename MD5HashData as MD5 | rename FilePath as ChildPath | dedup aid TargetProcessId_decimal MD5 | fields aid TargetProcessId_decimal FileName CommandLine] | table Parent ParentCmd FileName CommandLine aid
Users added to admin,"event_simpleName=UserAccountAddedToGroup DomainSid=""S-1-5-21-*"" | stats dc(ComputerName) AS ""Host Count"", values(ComputerName) AS ""Host Name"" by DomainSid, UserRid | eval UserRid_dec=tonumber(UserRid, 16) | fillnull UserRid | eval UserSid_readable=DomainSid.""-"".UserRid_dec | lookup usersid_username.csv UserSid_readable OUTPUT UserName | rename UserSid_readable AS UserSid, UserName AS ""User Name"" | table UserSid, ""User Name"", ""Host Count"", ""Host Name"""
Firewall rules activated by host,event_simpleName=FirewallSetRule | stats values(LocalAddressIP4) values(RemoteIP) values(FirewallRule) by ComputerName
More firewall activity by host,"event_simpleName=FirewallSetRule | rex field=FirewallRule ""App=(?<App>(.*?))\|"" | rex field=FirewallRule ""Active=(?<Active>(.*?))\|"" | rex field=FirewallRule ""Profile=(?<Profile>(.*?))\|"" | rex field=FirewallRule ""Protocol=(?<Protocol>(.*?))\|"" | rex field=FirewallRule ""Dir=(?<Dir>(.*?))\|"" | rex field=FirewallRule ""Desc=(?<Desc>(.*?))\|"" | rex field=FirewallRule ""Name=(?<Name>(.*?))\|"" | table ComputerName App Name Desc Active Dir Profile RemoteAddressIP4 RemoteAddressIP6 FirewallRule"
Network activity in old src/port - dest/port format,"event_simpleName=NetworkConnect* (RemoteAddressIP4!=192.168.0.0/16 AND RemoteAddressIP4!=10.0.0.0/8 AND RemoteAddressIP4!=172.16.0.0/12 AND RemoteAddressIP4!=127.0.0.0/8)
| table ComputerName aid LocalAddressIP4 LocalPort_decimal RemoteAddressIP4 RemotePort_decimal"
Summary of network activity by host,"event_simpleName=NetworkConnect* (RemoteAddressIP4!=192.168.0.0/16 AND RemoteAddressIP4!=10.0.0.0/8 AND RemoteAddressIP4!=172.16.0.0/12 AND RemoteAddressIP4!=127.0.0.0/8)
| stats values(LocalAddressIP4) values(RemoteAddressIP4) values(RemotePort_decimal) by ComputerName"
RDP activity,"event_simpleName=UserIdentity LogonType_decimal=10 | eval Time=strftime(_time,""%m/%d/%Y %H:%M:%S %p"")| table Time ComputerName UserName UserPrincipal LogonServer"
Utility query component to add context,"| rename ContextProcessId as TargetProcessId 
| join TargetProcessId [search aid=* event_simpleName=""ProcessRollup2"" ]
| table ComputerName _time ImageFileName CommandLine"
Active Sensors ,"| inputlookup aid_master | search cid=* | where now()-Time<86400 | eval ProductType=case(ProductType = ""1"",""Workstation"", ProductType = ""2"",""Domain Controller"", ProductType = ""3"",""Server"", event_platform = ""Mac"", ""Workstation"") | eval Last_Seen_UTC=Time | lookup managedassets.csv aid OUTPUT LocalAddressIP4 | table ComputerName LocalAddressIP4 aip event_platform Version ProductType SystemManufacturer SystemProductName  MachineDomain OU SiteName AgentVersion Last_Seen_UTC aid | rename SystemManufacturer as Manufacturer SystemProductName as Model AgentVersion as ""Agent Version"" MachineDomain as Domain aip as ""External IP"" LocalAddressIP4 as ""Local IP"" event_platform as OS, ComputerName AS ""Host Name"", ProductType AS ""Device Type"", SiteName AS ""Site Name"", Last_Seen_UTC AS ""Last Seen (UTC)"" | convert ctime(""Last Seen (UTC)"")"
Basic Info about a given system,"| inputlookup aid_master | search ComputerName=<System Name>
| where now()-Time<86400 
| eval ProductType=case(ProductType = ""1"",""Workstation"", ProductType = ""2"",""Domain Controller"", ProductType = ""3"",""Server"") 
| eval Last_Seen_UTC=Time
| eval event_platform=case(event_platform = ""Win"",""Windows"", event_platform = ""Lin"",""Linux"", event_platform = ""Mac"",""OSX"")
| lookup managedassets.csv aid OUTPUT LocalAddressIP4 
| table ComputerName LocalAddressIP4 event_platform Version ProductType SystemManufacturer SystemProductName AgentVersion Last_Seen_UTC
| rename SystemManufacturer as Manufacturer SystemProductName as Model AgentVersion as ""Agent Version"" MachineDomain as Domain aip as ""External IP"" LocalAddressIP4 as ""Local IP"" event_platform as OS, ComputerName AS ""Host Name"", ProductType AS ""Device Type"", SiteName AS ""Site Name"", Last_Seen_UTC AS ""Last Seen (UTC)"" 
| convert ctime(""Last Seen (UTC)"")"
Hunting for HTA execution CVE-2017-0199,"mshta.exe AND (""*.run*"" OR (""*http*"" NOT *localhost*)) AND NOT CommandLine=*IBM*
|  table ComputerName CommandLine ImageFileName _time"
Honed Query (Strange Service from Location),"event_simpleName=ServiceStarted ImageFileName!=*\\System32\\* AND NOT ( CommandLine=C:\\windows\\SysWOW64\\* OR CommandLine=*GoogleUpdate.exe* OR CommandLine=*BigFix* OR CommandLine=*PSEXESVC.exe* OR CommandLine=*\\OpenSSH-Win64\\sshd.exe* OR CommandLine=*RESTAPI.exe* OR CommandLine=*symantec* OR CommandLine=*VeeamGuestHelper.exe* OR CommandLine=*IBM* OR CommandLine=*mscorsvw.exe* OR CommandLine=*SUService.exe* OR CommandLine=*clussvc.exe* OR CommandLine=*MsMpEng.exe* OR CommandLine=*TrustedInstaller.exe* OR CommandLine=*NisSrv.exe* OR CommandLine=*c4ebreg.exe* OR CommandLine=*OSPPSVC.EXE* OR CommandLine=*jenkins* OR CommandLine=*HOTL* OR CommandLine=*Tivoli* OR CommandLine=*mcshield.exe* OR CommandLine=*policyHost.exe* OR CommandLine=*maintenanceservice.exe* OR CommandLine=*OfficeClickToRun.exe* OR CommandLine=*check_mk\\check_mk_agent.exe* OR CommandLine=*wmpnetwk.exe* OR CommandLine=*amazon* OR CommandLine=*openssh* OR CommandLine=*PresentationFontCache.exe* OR CommandLine=*armsvc.exe* OR CommandLine=*cogbootstrapservice.exe* OR CommandLine=*Taskmaster* OR CommandLine=*Lenovo* OR CommandLine=*MaaS360* OR CommandLine=*StandardCollector.Service.exe* OR CommandLine=*McAfee* OR CommandLine=*apache* OR CommandLine=*webex* OR CommandLine=*microsoft* OR CommandLine=*VGAuthService.exe* OR CommandLine=*vmware* OR CommandLine=*FNPLicensingService.exe* OR CommandLine=*jhi_service.exe* )
| stats values(ImageFileName) by ComputerName, CommandLine, ServiceDisplayName
| dedup ComputerName"
Web Execution direct to shell,"""*\:\/\/* | *sh""
| regex CommandLine="".*(http.?).*\|\ ?[a-z]{0,3}sh(?<!\|ssh|\| ssh)""
| table ComputerName CommandLine _time"
Linux fileless execution,"FilePath=*memfd*
| stats values(FilePath) by ComputerName, CommandLine, ImageFilePath, _time"
HTA execution on Windows,"mshta.exe AND (""*.run*"" OR (""*http*"" NOT *localhost*)) AND NOT CommandLine=*IBM*
|  table ComputerName CommandLine ImageFileName _time"
What's making the DNS requests on a given machine,"aid=<matching agent iD> event_simpleName=DNSRequest 
| rename ContextProcessId as TargetProcessId 
| join TargetProcessId [search aid=<matching agent ID> event_simpleName=""ProcessRollup*"" ImageFileName=""*"" NOT CommandLine=*iptables-restore*] 
| table ComputerName _time ImageFileName DomainName CommandLine CommandHistory"
Current version of Chrome affected by CVE-2019-5786 with OS version and Architecture,"index=discover_summary ProductName=""Google*"" (FileName=""chrome.exe"") 
| dedup ComputerName 
| sort FileVersion 
| where FileVersion < ""72.0.3626.121""
| lookup aid_master ComputerName output Version City Country
| where Version=""Windows 7""
| join ComputerName [search event_simpleName=OsVersionInfo]
| replace 4 WITH ""32 Bit"" IN PointerSize_decimal
| replace 8 WITH ""64 Bit"" IN PointerSize_decimal
| rename PointerSize_decimal AS ""OS Bit""
| table ComputerName, FileVersion, UserName, Version, ""OS Bit"", City, Country, _time "
Total asset view,"| inputlookup aid_master
| where now()-Time<86400 
| eval ProductType=case(ProductType = ""1"",""Workstation"", ProductType = ""2"",""Domain Controller"", ProductType = ""3"",""Server"", 1=1, ""Server"") 
| eval Last_Seen_UTC=Time
| eval event_platform=case(event_platform = ""Win"",""Windows"", event_platform = ""Lin"",""Linux"", event_platform = ""Mac"",""OSX"")
| lookup managedassets.csv aid OUTPUT LocalAddressIP4 
| table ComputerName LocalAddressIP4 aip event_platform Version ProductType SystemManufacturer SystemProductName AgentVersion Last_Seen_UTC
| rename SystemManufacturer as Manufacturer SystemProductName as Model AgentVersion as ""Agent Version"" MachineDomain as Domain aip as ""External IP"" LocalAddressIP4 as ""Local IP"" api as ""External IP"" event_platform as OS, ComputerName AS ""Host Name"", ProductType AS ""Device Type"", SiteName AS ""Site Name"", Last_Seen_UTC AS ""Last Seen (UTC)"" 
| convert ctime(""Last Seen (UTC)"")"
Quick network activity from range,"RemoteAddressIP4=9.23.193.235/27
| lookup aid_master ComputerName output MachineDomain
| table ComputerName, MachineDomain, LocalAddressIP4, LPort, RemoteAddressIP4, RPort, _time"
Quick requests from host,"aid=eb372c6aec0142c5767eff54a898a0e4 event_simpleName=DNSRequest 
| rename ContextProcessId as TargetProcessId 
| join TargetProcessId [search aid=eb372c6aec0142c5767eff54a898a0e4	 event_simpleName=""ProcessRollup*"" ImageFileName=""*"" NOT CommandLine=*iptables-restore*] 
| table ComputerName _time ImageFileName DomainName CommandLine CommandHistory"
Beta- Query to show child processes from filess launch,"ImageFileName=""/memfd:runc_cloned:/proc/self/exe (deleted)""
| rename FileName as Parent 
| rename CommandLine as ParentCmd 
| rename TargetProcessId_decimal as ParentProcessId_decimal
| table ComputerName Parent ParentCmd ImageFileName _time
| join type=outer max=0 ParentProcessId_decimal [search event_simpleName=ProcessRollup* | rename MD5HashData as MD5 | fields CommandLine MD5] "
Query for systems clearing Windows EventLogs,"(wevtutil.exe AND "" cl "") OR Clear-EventLog
|  join type=outer max 0 
| table ComputerName CommandLine _time
|  dedup ComputerName"
Failed Logins per Machine and Per Account,"event_simpleName=UserLogonFailed
| stats count by UserName, ComputerName
| eventstats sum(count) As ""Total Count"" by ComputerName
| sort - ""Total Count"" ComputerName count "
Direct Socket Connections,"/dev/tcp/
| regex CommandLine=""\b(?!10\.|9\.|169\.254\.|192\.168\.|172\.(?:1[6-9]|2[0-9]|3[01])\.)(?:25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)(?:\.(?:25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)){3}\b""
| rename _time AS Time
| stats values(CommandLine) by ComputerName"
Encoded Powershell,"""powershell"" AND (""System.Diagnostics.ProcessStartInfo"" OR ""[Convert]::FromBase64String"" OR ""-EncodedCommand"" OR "".decode('base64')"" OR ""base64 --decode"" OR "".decode64("")
| table CommandLine
| dedup CommandLine"
Encoded Powershell - Tuned for Environment,"CommandLine=*powershell* AND (""System.Diagnostics.ProcessStartInfo"" OR ""[Convert]::FromBase64String"" OR ""-EncodedCommand"" OR "".decode('base64')"" OR ""base64 --decode"" OR "".decode64("") AND NOT (JgBjAGgAYwBwAC4AYwBv* OR UABvAHcAZQByAFMAaA* OR CgAgACAAIAAgACYAYwB* OR WwBDAG8AbgBzAG8AbABlAF0AOgA* OR IAAgACAAIAAgACAAIAAgACAA* OR UwBlAHQALQBTAHQAcgBpAGMAd* OR YgBlAGcAaQBuACAAewAKACQAcABhAHQ* OR CgAgACAAIAAgACMAIABo* OR KABHAGUAdAAtAFcAbQBpAE8AY* OR aQBmACgAIAAoAGcAZQB0AC0A* OR CgAgACAAIAAgAHQAcgBhAHAAI* OR dwBoAG8AYQBtAGkA OR IABJAG0AcABvAHIAdAAtAE0A* )
| table ComputerName, CommandLine
| dedup ComputerName "
Event Search Query to Find Windows BSoD Crashes and Mac Kernel Panics,"earliest=-7d latest=now event_simpleName=CrashNotification 
| eval Time=strftime(timestamp/1000, ""%Y-%m-%d %H:%M:%S"") 
| stats list(Time) by ComputerName, aid, event_platform, ConfigBuild, CrashDumpFilePath 
| rename list(Time) AS ""Crash Times (UTC)"", ComputerName AS ""Hostname"", aid AS ""Sensor AID"", event_platform AS ""OS Platform"", ConfigBuild AS ""Sensor Build"", CrashDumpFilePath AS ""Path to Dump File"""
For Windows BSoD crashes,"earliest=-7d latest=now event_simpleName=CrashNotification event_platform=Win
| eval Time=strftime(timestamp/1000, ""%Y-%m-%d %H:%M:%S"") 
| stats list(Time) by ComputerName, aid, event_platform, ConfigBuild, CrashDumpFilePath 
| rename list(Time) AS ""Crash Times (UTC)"", ComputerName AS ""Hostname"", aid AS ""Sensor AID"", event_platform AS ""OS Platform"", ConfigBuild AS ""Sensor Build"", CrashDumpFilePath AS ""Path to Dump File"""
For Mac kernel panic crashes,"earliest=-7d latest=now event_simpleName=CrashNotification event_platform=Mac
| eval Time=strftime(timestamp/1000, ""%Y-%m-%d %H:%M:%S"") 
| stats list(Time) by ComputerName, aid, event_platform, ConfigBuild, CrashDumpFilePath 
| rename list(Time) AS ""Crash Times (UTC)"", ComputerName AS ""Hostname"", aid AS ""Sensor AID"", event_platform AS ""OS Platform"", ConfigBuild AS ""Sensor Build"", CrashDumpFilePath AS ""Path to Dump File"""
Hosts in RFM state,"event_simpleName=SensorHeartbeat SensorStateBitMap_decimal=2 ConfigIDBuild_decimal>=5906 earliest=-1d latest=now
| table timestamp ComputerName aid ConfigIDBuild_decimal
| dedup aid
| sort -timestamp
| eval timestamp=timestamp/1000
| convert ctime(timestamp)
| rename timestamp as ""Timestamp (UTC)"", ComputerName as ""Hostname"", aid as ""Sensor ID"", ConfigIDBuild_decimal as ""Agent Build"""
Looking For Latest OSFM Certification,"event_simpleName=LFODownloadConfirmation CompletionEventId=Event_OsfmDownloadCompleteV1 FileName=Osfm-*.bin earliest=-1d latest=now
| table timestamp ComputerName aid FileName ConfigBuild
| dedup aid
| sort -timestamp
| eval timestamp=timestamp/1000
| convert ctime(timestamp)
| rename timestamp as ""Timestamp (UTC)"", ComputerName as ""Hostname"", aid as ""Sensor ID"", FileName as ""OSFM Filename"", ConfigBuild as ""Agent Build"""
Look for processes and users starting powershell,"FileName=""powershell.exe"" 
|  dedup CommandLine
| rename CommandLine as ChildCommandLine
| join    ParentProcessId_decimal 
    [search event_simpleName=ProcessRollup*]
| table ComputerName UserName FileName CommandLine ChildCommandLine "
look for processes started by powershell excluding specific processes and specific powershell command patterns,"event_simpleName=ProcessRollup* AND NOT FileName IN (""gpupdate.exe"",""winmgmt.exe"",""sc.exe"",""attrib.exe"",""reg.exe"",""schtasks.exe"",""wermgr.exe"",""msbuild.exe"",""csc.exe"")
| dedup CommandLine
| rename ParentProcessId_decimal as TargetProcessId_decimal
| rename CommandLine as ChildCommandLine
| rename FileName as ChildFileName
| join  TargetProcessId_decimal    
    [search event_simpleName=ProcessRollup* FileName=""powershell.exe"" AND NOT CommandLine IN (""*sccm*"",""*gpclient*"")]
| table ComputerName FileName CommandLine ChildFileName ChildCommandLine"
DEV -> prod logins,"event_simpleName IN (""UserLogon*"", ""Login*"") AND UserName IN (""*svc*"") AND ComputerName IN (""*prd*"",""*PROD*"")
| regex UserName="".*[sS][vV][cC][dDtT][Ee][vVsS].*"" 
|  table _time UserName ComputerName AuthenticationId_decimal AuthenticationPackage LocalAddressIP4 LogonDomain LogonServer LogonTime_decimal LogonType_decimal MAC PasswordLastSet_decimal PrivilegesBitmask_decimal RemoteAccount_decimal   UserIsAdmin_decimal   UserPrincipal UserSid_readable "
above for any machine,"event_simpleName IN (""UserLogon*"", ""Login*"") AND UserName IN (""*svc*"") 
| regex UserName="".*[sS][vV][cC][dDtT][Ee][vVsS].*"" 
|  table _time UserName ComputerName AuthenticationId_decimal AuthenticationPackage          LocalAddressIP4 LogonDomain LogonServer LogonTime_decimal LogonType_decimal MAC PasswordLastSet_decimal PrivilegesBitmask_decimal RemoteAccount_decimal   UserIsAdmin_decimal   UserPrincipal UserSid_readable 

event_simpleName IN (""UserLogon*"", ""Login*"") AND UserName IN (""*svcdev*"",""*svctes*"",""*svcstg*"") AND ComputerName IN (""*prd*"",""*prod*"")
|  table _time UserName ComputerName AuthenticationId_decimal AuthenticationPackage          LocalAddressIP4 LogonDomain LogonServer LogonTime_decimal LogonType_decimal MAC PasswordLastSet_decimal PrivilegesBitmask_decimal RemoteAccount_decimal   UserIsAdmin_decimal   UserPrincipal UserSid_readable "
lnk exeuction from external drives hunt,"event_simpleName=ProcessRollup* AND LinkName=""*.lnk"" AND NOT FileName IN (""WINWORD.EXE"",""EXCEL.EXE"",""MSACCESS.EXE"",""AcroRd32.exe"")| regex LinkName=""[d-zD-Z]:\\\[\w\d -_]*\\.lnk""
| table _time ComputerName LinkName FileName CommandLine
"
lnk on removable drive root,"LinkName=""*lnk""
| regex LinkName=""[d-zD-Z]:\\\[\\w\\d -_]*\\.lnk"""
usb enumerate,| table _time ComputerName aip event_simpleName DeviceDescriptorSetHash    DeviceDescriptorUniqueIdentifier    DeviceProtocol_decimal       DeviceUsbClass_decimal    DeviceUsbSubclass_decimal MAC     LocalAddressIP4
CommandHistory,"event_simpleName=CommandHistory
| eval Commands=split(CommandHistory,""¶"")
|    join aid  [search UserName=""*"" ] 
| table _time ComputerName ApplicationName UserName CommandCount_decimal Commands CommandHistory LocalAddressIP4 aip aid
"
Connections to a specific subnet and port counted by the remote IP where the count is low,"RemoteAddressIP4=10.0.0.0/8 RemotePort_decimal=445 
| stats values(LocalAddressIP4) count by RemoteAddressIP4| where count <4 | sort – count"
filename versions,"event_simpleName=PeVersion* AND FileName=""iexplore.exe""
| dedup SHA256HashData
| table ComputerName FileName FileVersion SHA256HashData"
Agent Versions in environment,"earliest=-7d event_simpleName=SensorHeartbeat aid=* ComputerName=*
| lookup aid_master aid OUTPUT AgentVersion
| eval timestamp=strftime(timestamp/1000, ""%Y-%m-%d %H:%M:%S.%3N %Z"")
| stats earliest(timestamp) by AgentVersion, aid, ComputerName"
Enumerate RDP logins (change numeric for different login types),"event_platform=Win event_simpleName=UserLogon LogonType_decimal=10
| stats dc(UserName) as UserCount values(UserName) values(ComputerName) by aid
| where UserCount > 1"
Scheduled task creation,"""schtasks.exe /Create"" AND NOT (""microsoft"" OR ""robustify"" OR ""roundpeg"" OR ""datacap"")
| table ComputerName CommandLine _time"
Information on mounted volumes,"event_simpleName=RemovableMediaVolumeMounted 
| eval UTC=strftime(_time, ""%a ----> %I:%M %p"") 
| rename timestamp AS Time, ""Agent IP"" AS ""External IP"", ""LocalAddressIP4"" AS ""Local IP"", ComputerName AS Machine, VolumeDriveLetter AS ""Drive Letter"", VolumeName AS ""Volume Name"" 
|table Time UTC Machine ""External IP"" ""Local IP"" ""Drive Letter"" ""Volume Name"""
Metasploit installations,"metasploit NOT (*metasploit*.pcap OR *metasploit*.mime OR *.nse)
|  stats values(CommandLine) values(ImageFileName) by ComputerName, aip"
Mimikatz / Powerkatz instances,(mimikatz OR powerkatz) | stats  values(CommandLine) values(ImageFileName) by ComputerName
WannaCry Detections,"mssecsvc.exe OR mssecsvr.exe
| rename aip AS ""IP Address""
| table ComputerName ""IP Address"" LocalIP CommandLine ImageFileName TargetFileName _time
| dedup ComputerName"
External Drive Mapping Events,"event_simpleName=RemovableMediaVolumeMounted 
| eval UTC=strftime(_time, ""%H:%M"") 
| eval PST=(_time - 28800) 
|eval PST=strftime(PST, ""%a ----> %I:%M %p"") 
| rename timestamp AS Time, ""Agent IP"" AS ""External IP"", ""LocalAddressIP4"" AS ""Local IP"", ComputerName AS Machine, VolumeDriveLetter AS ""Drive Letter"", VolumeName AS ""Volume Name"" 
|table Time PST Machine ""External IP"" ""Local IP"" ""Drive Letter"" ""Volume Name"""
Check Channel File to see if host updated last change,"aid=7e3ebf636dd7458b7b4ba62aa65f0552 event_simpleName=LFODownloadConfirmation
| table TargetFileName timestamp _time
| dedup TargetFileName"
Quick query for detection metrics,"Event_DetectionSummaryEvent
| rename AgentIdString as aid
| lookup aid_master.csv aid OUTPUT ComputerName, Version, PointerSize, ProductType
| stats latest(ComputerName) as ComputerName, latest(Version) as Version, last(PointerSize) as PointerSize, values(ProductType) as ProductType count by aid
| eval Arch=case(PointerSize==8, ""64 bit"", PointerSize==4, ""32 bit"", true(), ""UNK"")
| eval ProductType=case(ProductType = ""1"",""Workstation"", ProductType = ""2"",""Domain Controller"", ProductType = ""3"",""Server"", 1=1, ""Server"") 
| table ComputerName, Version, Arch, ProductType, count
| sort - count"
Check items that would be blocked detectable by platform,"earliest=-30d ComputerName=* ExternalApiType=Event_DetectionSummaryEvent 
| stats count(ComputerName) AS detectCount by FileName CommandLine  DetectName Tactic Technique Objective PatternDispositionDescription 
| sort - detectCount"
Certutil Invocation,"""certutil"" AND ("" -decode"" OR "" -urlcache"")
| table ComputerName CommandLine ImgaeFileName TargetFileName
| dedup ComputerName"
CMD Invocations,"""cmd /c"" AND NOT ( saxon OR perfharness OR solr OR kafka)
| regex CommandLine=""\b(?!169\.254\.|192\.168\.|172\.(?:1[6-9]|2[0-9]|3[01])\.)(?:25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)(?:\.(?:25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)){3}\b""
| rename _time AS Time
| stats values(CommandLine) by ComputerName"
Netcat / Socat Invocations,"""/nc -"" OR ""socat""
| regex CommandLine=""\b(?!127\.0\.|169\.254\.|192\.168\.|172\.(?:1[6-9]|2[0-9]|3[01])\.)(?:25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)(?:\.(?:25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)){3}\b""
| rename _time AS Time
| stats values(CommandLine) by ComputerName"